[lrno],[vesselname],[owner],[shipmanager],[operator],[flag],[dwt],[loa],[breadth],[depth],[statdecode]
9259733,DA YUAN HU,Dalian Ocean Shipping Co Ltd,Dalian Ocean Shipping Co Ltd,Blue Fin Tankers Inc,CHR,159149,274.7000122,48,24,Crude Oil Tanker
9286229,GODAVARI SPIRIT,Godavari Spirit LLC,Teekay Marine Singapore,Gemini Pool LLC,MTA,159106,274.480011,48,23.10000038,Crude Oil Tanker
9522180,DS VENTURE,DS-Rendite-Fonds 66,DS Tankers GmbH & Co KG,DS Tankers GmbH & Co KG,LIB,297345,330,60,29.70000076,Crude Oil Tanker
9288851,HS TOSCA,HS Tosca mbH & Co KG,Hansa Shipping GmbH & Co KG,Sigma Tankers Inc,MTA,115635,249.8650055,43.79999924,21.29999924,Crude Oil Tanker
9288899,TOLEDO SPIRIT,Cepsa Comercial Petroleo SA,Teekay Marine Singapore,Teekay Shipping Ltd,CSR,159342,274,48,23.70000076,Crude Oil Tanker
9259680,BLS ABILITY,Blue Lines Shipping LLC,Blue Lines Shipping Pte Ltd,Blue Lines Shipping Pte Ltd,LIB,84999,238.9400024,38,20,Crude Oil Tanker
9259745,DA LI HU,Dalian Ocean Shipping Co Ltd,Dalian Ocean Shipping Co Ltd,Blue Fin Tankers Inc,CHR,159549,274.7000122,48,24,Crude Oil Tanker
9519717,HANJIN RAS TANURA,Miden Enterprises Inc,Hanjin Shipping Co Ltd,Hanjin Shipping Co Ltd,PAN,317660,333,60,30.39999962,Crude Oil Tanker
9263215,COSGREAT LAKE,Cosgreat Lake Maritime Inc,Dalian Ocean Shipping Co Ltd,Dalian Ocean Shipping Co Ltd,PAN,298833,333,60,29.29999924,Crude Oil Tanker
9263227,COSBRIGHT LAKE,Cosbright Lake Maritime Inc,Dalian Ocean Shipping Co Ltd,Dalian Ocean Shipping Co Ltd,PAN,299079,333,60,29.29999924,Crude Oil Tanker
9264893,TSURUMI,Kei Enterprise Inc,NYK Line,NYK Line,PAN,300610,333,60,29,Crude Oil Tanker
9270529,KRYMSK,Krymsk Shipping Inc,SCF Novoship JSC,SCF Novoship JSC,LIB,115605,250,44,21,Crude Oil Tanker
